frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
104,3.466666666666667,1784291926.6796665,nan,nan,nan,nan,nan,nan,4,0,nan,369,0,0,0,0,0,0,250,0,1,0
105,3.5,1784291926.7129998,nan,nan,nan,nan,nan,nan,10,0,nan,339,0,0,0,0,0,0,250,0,1,0
106,3.533333333333333,1784291926.7463331,nan,nan,nan,nan,nan,nan,10,0,nan,352,0,0,0,0,0,0,250,0,1,0
107,3.566666666666667,1784291926.7796664,nan,nan,nan,nan,nan,nan,6,0,nan,361,0,0,0,0,0,0,250,0,1,0
108,3.6,1784291926.8129997,nan,nan,nan,nan,nan,nan,0,0,nan,343,0,0,0,0,0,0,250,0,1,0
109,3.6333333333333333,1784291926.8463333,nan,nan,nan,nan,nan,nan,10,0,nan,350,0,0,0,0,0,0,250,0,1,0
110,3.6666666666666665,1784291926.8796666,nan,nan,nan,nan,nan,nan,2,0,nan,380,0,0,0,0,0,0,250,0,1,0
111,3.7,1784291926.9129999,nan,nan,nan,nan,nan,nan,9,0,nan,344,0,0,0,0,0,0,250,0,1,0
112,3.7333333333333334,1784291926.9463332,nan,nan,nan,nan,nan,nan,11,0,nan,362,0,0,0,0,0,0,250,0,1,0
113,3.7666666666666666,1784291926.9796665,nan,nan,nan,nan,nan,nan,4,0,nan,348,0,0,0,0,0,0,250,0,1,0
114,3.8,1784291927.0129998,nan,nan,nan,nan,nan,nan,12,0,nan,336,0,0,0,0,0,0,250,0,1,0
115,3.8333333333333335,1784291927.046333,nan,nan,nan,nan,nan,nan,12,0,nan,337,0,0,0,0,0,0,250,0,1,0
116,3.8666666666666667,1784291927.0796664,nan,nan,nan,nan,nan,nan,9,0,nan,333,0,0,0,0,0,0,250,0,1,0
117,3.9,1784291927.113,nan,nan,nan,nan,nan,nan,16,0,nan,339,0,0,0,0,0,0,250,0,1,0
118,3.933333333333333,1784291927.1463332,nan,nan,nan,nan,nan,nan,13,0,nan,332,0,0,0,0,0,0,250,0,1,0
119,3.966666666666667,1784291927.1796665,nan,nan,nan,nan,nan,nan,18,0,nan,344,0,0,0,0,0,0,250,0,1,0
120,4.0,1784291927.2129998,nan,nan,nan,nan,nan,nan,12,0,nan,328,0,0,0,0,0,0,250,0,1,0
121,4.033333333333333,1784291927.2463331,nan,nan,nan,nan,nan,nan,8,0,nan,378,0,0,0,0,0,0,250,0,1,0
122,4.066666666666666,1784291927.2796664,nan,nan,nan,nan,nan,nan,17,0,nan,307,0,0,0,0,0,0,250,0,1,0
123,4.1,1784291927.3129997,nan,nan,nan,nan,nan,nan,14,0,nan,307,0,0,0,0,0,0,250,0,1,0
124,4.133333333333334,1784291927.3463333,nan,nan,nan,nan,nan,nan,7,0,nan,325,0,0,0,0,0,0,250,0,1,0
125,4.166666666666667,1784291927.3796666,nan,nan,nan,nan,nan,nan,11,0,nan,341,0,0,0,0,0,0,250,0,1,0
126,4.2,1784291927.4129999,nan,nan,nan,nan,nan,nan,4,0,nan,315,0,0,0,0,0,0,250,0,1,0
127,4.233333333333333,1784291927.4463332,nan,nan,nan,nan,nan,nan,4,0,nan,340,0,0,0,0,0,0,250,0,1,0
128,4.266666666666667,1784291927.4796665,nan,nan,nan,nan,nan,nan,3,0,nan,319,0,0,0,0,0,0,250,0,1,0
129,4.3,1784291927.5129998,nan,nan,nan,nan,nan,nan,6,0,nan,306,0,0,0,0,0,0,250,0,1,0
130,4.333333333333333,1784291927.546333,nan,nan,nan,nan,nan,nan,3,0,nan,314,0,0,0,0,0,0,250,0,1,0
131,4.366666666666666,1784291927.5796664,nan,nan,nan,nan,nan,nan,8,0,nan,322,0,0,0,0,0,0,250,0,1,0
132,4.4,1784291927.613,nan,nan,nan,nan,nan,nan,10,0,nan,319,0,0,0,0,0,0,250,0,1,0
133,4.433333333333334,1784291927.6463332,nan,nan,nan,nan,nan,nan,7,0,nan,331,0,0,0,0,0,0,250,0,1,0
134,4.466666666666667,1784291927.6796665,nan,nan,nan,nan,nan,nan,1,0,nan,357,0,0,0,0,0,0,250,0,1,0
135,4.5,1784291927.7129998,nan,nan,nan,nan,nan,nan,0,0,nan,337,0,0,0,0,0,0,250,0,1,0
136,4.533333333333333,1784291927.7463331,nan,nan,nan,nan,nan,nan,6,0,nan,371,0,0,0,0,0,0,250,0,1,0
137,4.566666666666666,1784291927.7796664,nan,nan,nan,nan,nan,nan,6,0,nan,374,0,0,0,0,0,0,250,0,1,0
138,4.6,1784291927.8129997,nan,nan,nan,nan,nan,nan,7,0,nan,383,0,0,0,0,0,0,250,0,1,0
139,4.633333333333334,1784291927.8463333,nan,nan,nan,nan,nan,nan,15,0,nan,370,0,0,0,0,0,0,250,0,1,0
140,4.666666666666667,1784291927.8796666,nan,nan,nan,nan,nan,nan,20,0,nan,374,0,0,0,0,0,0,250,0,1,0
141,4.7,1784291927.9129999,nan,nan,nan,nan,nan,nan,3,0,nan,385,0,0,0,0,0,0,250,0,1,0
142,4.733333333333333,1784291927.9463332,nan,nan,nan,nan,nan,nan,1,0,nan,383,0,0,0,0,0,0,250,0,1,0
143,4.766666666666667,1784291927.9796665,nan,nan,nan,nan,nan,nan,22,0,nan,347,0,0,0,0,0,0,250,0,1,0
144,4.8,1784291928.0129998,nan,nan,nan,nan,nan,nan,4,0,nan,392,0,0,0,0,0,0,250,0,1,0
145,4.833333333333333,1784291928.046333,nan,nan,nan,nan,nan,nan,10,0,nan,410,0,0,0,0,0,0,250,0,1,0
146,4.866666666666666,1784291928.0796664,nan,nan,nan,nan,nan,nan,16,0,nan,383,0,0,0,0,0,0,250,0,1,0
147,4.9,1784291928.113,nan,nan,nan,nan,nan,nan,4,0,nan,413,0,0,0,0,0,0,250,0,1,0
148,4.933333333333334,1784291928.1463332,nan,nan,nan,nan,nan,nan,12,0,nan,382,0,0,0,0,0,0,250,0,1,0
149,4.966666666666667,1784291928.1796665,nan,nan,nan,nan,nan,nan,11,0,nan,422,0,0,0,0,0,0,250,0,1,0
150,5.0,1784291928.2129998,nan,nan,nan,nan,nan,nan,8,0,nan,395,0,0,0,0,0,0,250,0,1,0
151,5.033333333333333,1784291928.2463331,nan,nan,nan,nan,nan,nan,13,0,nan,392,0,0,0,0,0,0,250,0,1,0
152,5.066666666666666,1784291928.2796664,nan,nan,nan,nan,nan,nan,17,0,nan,417,0,0,0,0,0,0,250,0,1,0
153,5.1,1784291928.3129997,nan,nan,nan,nan,nan,nan,21,0,nan,396,0,0,0,0,0,0,250,0,1,0
154,5.133333333333334,1784291928.3463333,nan,nan,nan,nan,nan,nan,18,0,nan,396,0,0,0,0,0,0,250,0,1,0
155,5.166666666666667,1784291928.3796666,nan,nan,nan,nan,nan,nan,23,0,nan,420,0,0,0,0,0,0,250,0,1,0
156,5.2,1784291928.4129999,nan,nan,nan,nan,nan,nan,31,0,0.0,405,0,0,0,0,0,0,250,0,1,0
157,5.233333333333333,1784291928.4463332,nan,nan,nan,nan,nan,nan,22,0,nan,428,0,0,0,0,0,0,250,0,1,0
158,5.266666666666667,1784291928.4796665,nan,nan,nan,nan,nan,nan,21,0,nan,421,0,0,0,0,0,0,250,0,1,0
159,5.3,1784291928.5129998,nan,nan,nan,nan,nan,nan,22,0,nan,419,0,0,0,0,0,0,250,0,1,0
160,5.333333333333333,1784291928.546333,nan,nan,nan,nan,nan,nan,34,0,0.0,390,0,0,0,0,0,0,250,0,1,0
161,5.366666666666666,1784291928.5796664,nan,nan,nan,nan,nan,nan,30,0,0.0,405,0,0,0,0,0,0,250,0,1,0
162,5.4,1784291928.613,nan,nan,nan,nan,nan,nan,32,0,0.0,402,0,0,0,0,0,0,250,0,1,0
163,5.433333333333334,1784291928.6463332,nan,nan,nan,nan,nan,nan,36,0,0.0,395,0,0,0,0,0,0,250,0,1,0
164,5.466666666666667,1784291928.6796665,nan,nan,nan,nan,nan,nan,29,0,nan,384,0,0,0,0,0,0,250,0,1,0
