raw_timestamp,timestamp,time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bax_m_s2,bay_m_s2,baz_m_s2,bgx_deg_s,bgy_deg_s,bgz_deg_s,sigma_x_mm,sigma_y_mm,sigma_z_mm,stationary_update
1784217465.3065903,1784217465.2065904,80.03745031356812,160771.32917160905,-533249.5454057169,-13367.722891946438,5.780725354853385,-20.048553150820243,-0.501649164062325,0.9997064409103122,0.022202195006404638,-0.007107352788635854,-0.00660152070905779,2.5499023610994933,-0.7974338097006163,-0.774437477145686,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8556787.086845132,6805798.959920094,245600.12023602493,0
1784217465.3252492,1784217465.2252493,80.05610918998718,160879.2144667055,-533623.7093789482,-13377.08394118692,5.783239449181989,-20.05718149556449,-0.501739146170168,0.9997092378113506,0.022083374759027077,-0.007092380907351065,-0.006592611543699619,2.536263334880382,-0.7958332107551489,-0.7732837977033825,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8562172.305877365,6810676.545292407,245783.42265275528,0
1784217465.3389676,1784217465.2389677,80.06982755661011,160958.56349355608,-533898.9057095443,-13383.968215365887,5.785051300235798,-20.063678102440935,-0.5019188501778782,0.9997121653172016,0.02194767834288917,-0.007106188429306278,-0.006586958186945673,2.520715787318978,-0.797534255696639,-0.7725629946455663,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8566133.326360783,6814264.35671718,245918.27141178938,0
1784217465.3587549,1784217465.258755,80.08961486816406,161073.0599931748,-534295.9991374214,-13393.903335043431,5.787667844204685,-20.07248964265646,-0.5022721083011357,0.9997131006791481,0.021896815221268604,-0.00714377450506935,-0.006573606275832231,2.5149052778666414,-0.801913149711802,-0.771087561330969,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8571848.522164602,6819441.2201434905,246112.86741551044,0
1784217465.377057,1784217465.2770572,80.1079170703888,161179.0092107556,-534663.440170953,-13403.098407261345,5.790088349270963,-20.080168383944102,-0.5025328987693062,0.9997119196343189,0.02196207917872393,-0.007110540155609381,-0.006571532386603843,2.5223576951166997,-0.7980605858411538,-0.770818101814413,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8577137.190993095,6824231.967731918,246292.97113339909,0
1784217465.403948,1784217465.3039482,80.13480806350708,161334.76041636855,-535203.5649040514,-13416.617791236618,5.79380555362966,-20.091254867139487,-0.5029624294102616,0.9997090708418312,0.022140473283097945,-0.006980590008411088,-0.006545569684736591,2.542681073598336,-0.7831015148682493,-0.7676540171703055,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8584911.040876644,6831274.200935649,246557.74451908914,0
1784217465.4217772,1784217465.3217773,80.15263724327087,161438.08012499553,-535561.8437620732,-13425.588722861577,5.796150910528244,-20.098912349558663,-0.5033577427803879,0.9997085503094665,0.02216272978151071,-0.007002808122918954,-0.006525988443936508,2.545234690647548,-0.7856796422898406,-0.7654847404096995,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8590068.417368757,6835946.533705403,246733.43354485743,0
1784217465.4420385,1784217465.3420386,80.17289853096008,161555.5439755419,-535969.1669140179,-13435.792903115536,5.7987538505262695,-20.108122681252564,-0.503901066282516,0.9997091077485181,0.02213370214062169,-0.007044956971045997,-0.0064936657974027,2.541915604983545,-0.7906127421836652,-0.7618661829386537,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8595931.74674555,6841258.648863835,246933.19954042032,0
1784217465.4587777,1784217465.3587778,80.18963766098022,161652.6279709572,-536305.8245191098,-13444.229658742503,5.800892642269215,-20.115903858581603,-0.5041269037272126,0.9997092902756889,0.022122870911854376,-0.0070524056503384735,-0.006494389396926562,2.540680582935502,-0.7914725044455891,-0.7619595271728881,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8600778.074127099,6845649.595440247,247098.34552181384,0
1784217465.476279,1784217465.376279,80.20713901519775,161754.1713946686,-536657.9517560351,-13453.051377226588,5.803172100300435,-20.12409500649345,-0.5039914823631769,0.9997107294988488,0.02205404560426235,-0.007065223356701518,-0.006492997480749104,2.5328005839893577,-0.7929969269534285,-0.7617781615303229,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8605847.047691844,6850242.452368477,247271.10621747322,0
1784217465.4980788,1784217465.398079,80.2289388179779,161880.71148868912,-537096.7610862657,-13464.036733760831,5.806115864058652,-20.134005918175735,-0.5038485100467986,0.9997141620056672,0.02191023745998994,-0.00704116581162708,-0.006477481282626227,2.516285159145802,-0.7903894097997892,-0.7598255302541829,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8612163.57413607,6855965.912931843,247486.42347569606,0
1784217465.516904,1784217465.4169042,80.24776411056519,161990.0368172655,-537475.8650753013,-13473.524449339035,5.808612360696218,-20.14202031386053,-0.5041268543958938,0.9997146381400391,0.02189361125460878,-0.007045707990559329,-0.006455236143984786,2.514365411130039,-0.7909783470479005,-0.7572751277631219,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8617620.980290983,6860911.187723724,247672.4913058484,0
1784217465.549761,1784217465.4497612,80.28062105178833,162180.95824472563,-538137.8939440479,-13490.097254931032,5.81276323622835,-20.15563638220951,-0.5046588070230733,0.999710105278634,0.02211364393601405,-0.006993944023189311,-0.00646350544630454,2.5395521164626285,-0.7848603983623788,-0.758264637623173,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8627150.352445751,6869546.636739171,247997.4421501294,0
1784217465.5729547,1784217465.4729548,80.30381464958191,162315.8110755321,-538605.4963892321,-13501.802760012746,5.815689753831989,-20.166046294698024,-0.5047150025852105,0.9997102174803746,0.02211078611084765,-0.0070120540983806615,-0.0064362489249738695,2.53921746948856,-0.7870065273576592,-0.7551856844370433,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8633882.177036209,6875647.487166433,248227.04637503286,0
1784217465.5905106,1784217465.4905107,80.32137060165405,162417.93074690265,-538959.6021161061,-13510.663551348376,5.817934096459502,-20.1742013226163,-0.5047194387049564,0.9997114341722649,0.022060455858628297,-0.007014700698469913,-0.006417059034637969,2.5334353485461785,-0.7873963637992832,-0.7529541325001824,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8638980.423533618,6880268.14926449,248400.96742765824,0
1784217465.604679,1784217465.5046792,80.33553910255432,162500.37518449486,-539245.4873938888,-13517.81510533378,5.819773826564595,-20.180848205203674,-0.5047810067896531,0.9997133212963558,0.02196900518888712,-0.007032399687665511,-0.006417428476655936,2.5229670533214303,-0.7894919698189756,-0.7529692708334814,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8643096.619262686,6883998.921140542,248541.40969761345,0
1784217465.621796,1784217465.521796,80.35265588760376,162600.0102200239,-539590.9846939892,-13526.457313451116,5.822019330417407,-20.188566857556225,-0.5050123734946063,0.9997155662531,0.021874260009470074,-0.007025538291430973,-0.00639883989469888,2.512086847980335,-0.7888239493591077,-0.750747360692998,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8648070.981714537,6888507.651790586,248711.15604998142,0
1784217465.6432095,1784217465.5432096,80.37406945228577,162724.70882288102,-540023.3911950912,-13537.275892487207,5.824673287921005,-20.19765631671235,-0.5054292971704518,0.9997127460791794,0.022010955513103485,-0.00700508029654876,-0.006393122419097784,2.527734978734935,-0.7863919976661635,-0.7501482092278147,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,8654296.522453265,6894150.662661096,248923.63096255143,0
