Frame,X,Y,Z,Roll,Pitch,Yaw
208,-36.0460,0.0000,0.0000,0.0000,18.7045,0.0000
209,-34.7792,0.0000,0.0000,0.0000,17.8645,0.0000
210,-33.5429,0.0000,0.0000,0.0000,17.1619,0.0000
211,-32.3157,0.0000,0.0000,0.0000,16.4159,0.0000
212,-31.0328,0.0000,0.0000,0.0000,15.6178,0.0000
213,-29.7270,0.0000,0.0000,0.0000,14.8550,0.0000
214,-28.5596,0.0000,0.0000,0.0000,14.1425,0.0000
215,-27.2720,0.0000,0.0000,0.0000,13.3709,0.0000
216,-25.8578,0.0000,0.0000,0.0000,12.6275,0.0000
217,-24.6294,0.0000,0.0000,0.0000,11.9141,0.0000
218,-23.3002,0.0000,0.0000,0.0000,11.1647,0.0000
219,-21.9313,0.0000,0.0000,0.0000,10.4077,0.0000
220,-20.5764,0.0000,0.0000,0.0000,9.5907,0.0000
221,-19.2475,0.0000,0.0000,0.0000,8.8127,0.0000
222,-18.1423,0.0000,0.0000,0.0000,8.2149,0.0000
223,-16.6614,0.0000,0.0000,0.0000,7.4886,0.0000
224,-15.1645,0.0000,0.0000,0.0000,6.6439,0.0000
225,-13.8751,0.0000,0.0000,0.0000,5.9780,0.0000
226,-12.5123,0.0000,0.0000,0.0000,5.2611,0.0000
227,-10.9885,0.0000,0.0000,0.0000,4.4780,0.0000
228,-9.5583,0.0000,0.0000,0.0000,3.7564,0.0000
229,-8.3031,0.0000,0.0000,0.0000,3.0574,0.0000
230,-6.9807,0.0000,0.0000,0.0000,2.3296,0.0000
231,-5.7212,0.0000,0.0000,0.0000,1.4826,0.0000
232,-4.3283,0.0000,0.0000,0.0000,0.5412,0.0000
233,-2.6123,0.0000,0.0000,0.0000,-0.2693,0.0000
234,-1.6652,0.0000,0.0000,0.0000,-0.5903,0.0000
235,0.1523,0.0000,0.0000,0.0000,-1.1261,0.0000
236,1.7500,0.0000,0.0000,0.0000,-2.1222,0.0000
237,3.1756,0.0000,0.0000,0.0000,-2.8367,0.0000
238,4.5056,0.0000,0.0000,0.0000,-3.5297,0.0000
239,5.8991,0.0000,0.0000,0.0000,-4.3486,0.0000
240,7.3551,0.0000,0.0000,0.0000,-5.1380,0.0000
241,8.7628,0.0000,0.0000,0.0000,-5.8355,0.0000
242,10.1289,0.0000,0.0000,0.0000,-6.5157,0.0000
243,11.5618,0.0000,0.0000,0.0000,-7.3372,0.0000
244,12.9963,0.0000,0.0000,0.0000,-8.0755,0.0000
245,14.3260,0.0000,0.0000,0.0000,-8.7459,0.0000
246,15.7007,0.0000,0.0000,0.0000,-9.5289,0.0000
247,17.0952,0.0000,0.0000,0.0000,-10.2801,0.0000
248,18.3935,0.0000,0.0000,0.0000,-10.9641,0.0000
249,19.7737,0.0000,0.0000,0.0000,-11.7540,0.0000
250,21.1647,0.0000,0.0000,0.0000,-12.4974,0.0000
251,22.5326,0.0000,0.0000,0.0000,-13.1994,0.0000
252,23.9941,0.0000,0.0000,0.0000,-13.9357,0.0000
253,25.3498,0.0000,0.0000,0.0000,-14.6825,0.0000
254,26.7242,0.0000,0.0000,0.0000,-15.4408,0.0000
255,28.1156,0.0000,0.0000,0.0000,-16.1852,0.0000
256,29.4532,0.0000,0.0000,0.0000,-16.8791,0.0000
257,30.8290,0.0000,0.0000,0.0000,-17.6511,0.0000
258,32.2197,0.0000,0.0000,0.0000,-18.3972,0.0000
259,33.5244,0.0000,0.0000,0.0000,-19.1205,0.0000
260,34.8922,0.0000,0.0000,0.0000,-19.8936,0.0000
261,36.2255,0.0000,0.0000,0.0000,-20.5998,0.0000
