dataset,family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
horizontal_line_1,median,median size=21,353.91464263824435,67.74828144877748,261.77201086357985,228.344386755907,545.0600236955149
horizontal_line_1,median,median size=11,435.99065183895516,251.10356433178427,272.11380143562025,230.19323955991052,888.6055598795988
horizontal_line_1,median,median size=41,662.6929176712416,560.347789903183,235.56341187927964,263.9737420010447,1401.9272498301539
horizontal_line_2,median,median size=5,710.4938119851975,45.539720956291035,109.82769160299203,700.4751736083431,1385.0664152784782
horizontal_line_2,wiener,wiener window=21,738.2362152554107,57.36937722320648,90.0322817062053,730.4763187964611,1462.4298692456844
horizontal_line_2,median,median size=3,742.8824778376321,76.02567182092717,106.69248134516482,731.2394871222206,1473.368322153907
horizontal_line_2,kalman_1d,kalman Q=1e-06 R=1e-03,749.3164653660425,98.56612892538318,111.60220187770466,734.3737686174339,1497.020464730779
horizontal_line_2,kalman_1d,kalman Q=1e-04 R=1e-02,755.8976163638705,101.72573150072351,110.97644838605339,740.7545544097866,1505.3781297903586
horizontal_line_2,kalman_1d,kalman Q=1e-06 R=1e-04,755.9092892074804,101.73432314278065,110.95693951380785,740.7682084016348,1505.397816351707
horizontal_line_2,kalman_1d,kalman Q=1e-06 R=1e-02,756.8968386438706,104.06940483204637,119.28023061359916,740.1585032354596,1519.182806275649
horizontal_line_2,wiener,wiener window=5,758.9874049009813,104.93160564095645,110.46091067391873,743.5385841696622,1508.9763086589428
horizontal_line_2,kalman_1d,kalman Q=1e-04 R=1e-03,759.7829081974506,103.99463071294637,110.50359789444734,744.4757479087118,1511.0585405111892
horizontal_line_2,butterworth,butterworth cutoff=5Hz order=2,759.9224936241417,105.37484476796152,111.41236046282287,744.2886700347948,1510.8178256924703
horizontal_line_2,butterworth,butterworth cutoff=5Hz order=4,759.9423093783671,105.55502291603041,111.21866968023755,744.3123391662133,1510.8377749966194
horizontal_line_2,butterworth,butterworth cutoff=10Hz order=2,760.3430015490462,105.68948001044406,111.078328498865,744.7233169155058,1511.5342514278423
horizontal_line_2,butterworth,butterworth cutoff=10Hz order=4,760.3494609749829,105.71210506073686,111.12409661307534,744.7198727041615,1511.545298508997
horizontal_line_2,savgol,savgol window=41 poly=3,760.4448903245268,106.40199130225815,111.33066950886061,744.6882095845916,1511.6775851917107
horizontal_line_2,savgol,savgol window=21 poly=3,760.4824773782802,105.57578294371704,110.91249968788021,744.906551097662,1511.7836532078425
horizontal_line_2,butterworth,butterworth cutoff=2Hz order=2,760.5392298284836,103.53998140209632,112.82326152150486,744.9632903834971,1512.045948433636
horizontal_line_2,savgol,savgol window=11 poly=2,760.5747457261039,105.54082270309307,110.84437353298208,745.0158410635055,1511.947579863419
horizontal_line_2,kalman_1d,kalman Q=1e-02 R=1e-02,760.5882239281149,105.16445590524182,110.51147412372083,745.1322685800694,1512.084243012887
horizontal_line_2,kalman_1d,kalman Q=1e-04 R=1e-04,760.5941171505327,105.16338839856462,110.50184935484312,745.1398620887829,1512.094502453366
horizontal_line_2,butterworth,butterworth cutoff=1Hz order=4,760.6587697854893,100.4409048639031,115.73029963695335,745.0636794446735,1512.5087088931605
horizontal_line_2,savgol,savgol window=7 poly=2,760.7406421486625,105.79540156885342,110.75228872232454,745.1627930636441,1512.222925282196
horizontal_line_2,kalman_1d,kalman Q=1e-02 R=1e-03,760.8004955534011,105.61059952629925,110.54825389943343,745.2804028429722,1512.3498189657885
horizontal_line_2,butterworth,butterworth cutoff=20Hz order=2,760.8075301163284,105.82967847941165,110.6963180669985,745.2345283204893,1512.3377694807864
horizontal_line_2,savgol,savgol window=81 poly=2,760.8202503535978,104.58326154477152,109.79588198081403,745.5566102267651,1512.41256429004
horizontal_line_2,savgol,savgol window=11 poly=3,760.8353270790467,105.85939940075276,110.60076303554847,745.2728719777382,1512.3828948975708
horizontal_line_2,kalman_1d,kalman Q=1e-02 R=1e-04,760.8372950361422,105.68880378057023,110.55579229988922,745.3057648121942,1512.3973117847424
horizontal_line_2,raw,raw,760.8417802942415,105.698339845459,110.55672363278643,745.3088530634856,1512.4031087898477
horizontal_line_2,savgol,savgol window=21 poly=2,760.8522220263462,105.78061940994242,110.39807909227365,745.3313548029583,1512.413227160563
horizontal_line_2,butterworth,butterworth cutoff=1Hz order=2,760.870429985967,100.40509179752885,116.483580127956,745.1672324577444,1512.8821880692592
horizontal_line_2,moving_average,moving-average window=5,760.8931665353508,105.98505885378134,110.57534285779289,745.3178326941031,1512.4765342802903
horizontal_line_2,butterworth,butterworth cutoff=20Hz order=4,760.893880656483,105.86544374479651,110.64663170531777,745.3249816915219,1512.4870130959964
horizontal_line_2,savgol,savgol window=7 poly=3,760.9257418336808,105.7458703533074,110.50197976084344,745.395940394964,1512.5473317884057
horizontal_line_2,butterworth,butterworth cutoff=2Hz order=4,760.9656421384803,104.01186974598367,112.73534765740594,745.3462154299425,1512.7706531520193
horizontal_line_2,moving_average,moving-average window=11,760.9987066267191,106.1739780381741,110.49297372545321,745.4109072400234,1512.6484145883605
horizontal_line_2,savgol,savgol window=81 poly=3,761.0952390340223,106.2076148345311,111.36759891135225,745.3745121374459,1512.8394061644296
horizontal_line_2,savgol,savgol window=41 poly=2,761.1294484474835,104.51643412156079,109.99186842844121,745.8526269794215,1512.9680914626806
horizontal_line_2,moving_average,moving-average window=21,761.7625836810712,106.52132927076254,110.22163831052397,746.1813658588608,1513.966651366711
horizontal_line_2,moving_average,moving-average window=81,762.315810714244,106.92459464484773,110.06493714855104,746.7116149728993,1514.8546487698025
horizontal_line_2,moving_average,moving-average window=41,762.8155738748562,106.44145085413294,110.1552537703585,747.2774835045423,1515.8163386437568
horizontal_line_2,wiener,wiener window=81,763.5158824216301,131.84591848600542,101.1849177890009,745.207869591227,1524.1626636105163
horizontal_line_2,wiener,wiener window=11,769.0647134242728,116.35440290990711,109.80684296678689,752.2397514060962,1529.615307715448
horizontal_line_2,wiener,wiener window=41,778.9317804668237,106.86434146829855,100.54797222913108,764.9868210788816,1557.8910157519801
horizontal_line_2,median,median size=11,784.7243388353364,427.0571279923998,18.54366273436484,658.0810208202582,1626.7739385968239
horizontal_line_2,median,median size=21,1090.4360198201582,756.7157326451864,14.761748640173572,784.9930598836983,2387.9660467588196
horizontal_line_2,median,median size=41,1226.8054616389736,935.1201145514966,11.265423590055548,794.0246232326472,2719.588845521679
vertical_line_1,median,median size=11,512.8924570750919,465.1475108624952,156.4628446413024,149.0498034540855,1014.574965208252
vertical_line_1,median,median size=21,550.5105760900251,452.17853703361584,134.45827362046828,283.7559474057123,1413.3825181694492
vertical_line_1,median,median size=41,821.433790498999,414.54810325374086,172.74286207977664,687.7959332990902,2208.328139362626
vertical_line_1,kalman_1d,kalman Q=1e-06 R=1e-02,1025.15565268936,257.2530890397594,170.21997902385527,977.6451908343681,1967.5069815568174
vertical_line_1,median,median size=5,1089.346518243844,251.64826059542088,155.00509163276826,1048.4857706794126,2000.2798380939785
vertical_line_1,kalman_1d,kalman Q=1e-06 R=1e-03,1127.8423475077495,249.8289814122454,146.38791146629669,1090.0387241996712,2136.0352058785707
vertical_line_1,median,median size=3,1136.9850947416844,240.6779237380157,147.88917233811094,1101.334660943286,2129.12238011066
vertical_line_1,wiener,wiener window=11,1140.581410163725,208.78912073647058,135.201276953553,1113.1278771925945,2134.039116398354
vertical_line_1,kalman_1d,kalman Q=1e-04 R=1e-02,1161.2625396459832,242.4153242397613,141.53081250455526,1126.8249756153662,2191.2575196355383
vertical_line_1,kalman_1d,kalman Q=1e-06 R=1e-04,1161.3005712562276,242.4291435741488,141.5281685810151,1126.8615286023607,2191.3253385360345
vertical_line_1,butterworth,butterworth cutoff=1Hz order=2,1162.6591755161262,229.44123923091982,139.1443388320245,1131.2700513683799,2191.8764259250897
vertical_line_1,butterworth,butterworth cutoff=1Hz order=4,1163.3741945691386,231.10538766263429,141.05623867104185,1131.429606256913,2193.1649428533656
vertical_line_1,butterworth,butterworth cutoff=2Hz order=2,1169.4475297159643,234.52104611543982,140.03361156010357,1137.100695330508,2203.9081285476964
vertical_line_1,butterworth,butterworth cutoff=2Hz order=4,1169.4747157201032,234.4111202277627,139.36263500386266,1137.2337461520217,2203.942017344146
vertical_line_1,kalman_1d,kalman Q=1e-04 R=1e-03,1171.7126987961126,238.84121826579883,140.5339125430936,1138.4707903159874,2208.4912158758725
vertical_line_1,savgol,savgol window=81 poly=3,1174.8348338745307,237.64999939506575,138.10042726954794,1142.2292399778994,2213.375879014708
vertical_line_1,butterworth,butterworth cutoff=5Hz order=2,1174.865336909598,237.5461518386245,141.36200940205424,1141.8831673670377,2213.563417678334
vertical_line_1,savgol,savgol window=41 poly=2,1175.2321268280555,237.68218306530565,140.0184995436625,1142.3977203967306,2214.1779564102408
vertical_line_1,butterworth,butterworth cutoff=5Hz order=4,1175.2632404969825,237.7632517617941,141.615405927405,1142.2160029430254,2214.2775438244485
vertical_line_1,kalman_1d,kalman Q=1e-02 R=1e-02,1175.5203331684265,238.16407706885374,140.67292018185498,1142.513481589543,2214.848775518952
vertical_line_1,kalman_1d,kalman Q=1e-04 R=1e-04,1175.5302141383847,238.16524537315837,140.67082710767227,1142.5236621835995,2214.8664252272806
vertical_line_1,savgol,savgol window=21 poly=2,1175.858971931762,238.2449215558222,140.5020271694617,1142.8660724628028,2215.294724940585
vertical_line_1,butterworth,butterworth cutoff=10Hz order=2,1176.5060319826496,238.11961399258902,140.98113113296057,1143.4989345810739,2216.4777067076834
vertical_line_1,savgol,savgol window=11 poly=2,1176.5647607236922,238.04625415870777,141.54041974504497,1143.5055428970177,2216.6032617261835
vertical_line_1,butterworth,butterworth cutoff=10Hz order=4,1176.642343648885,238.18070126301512,140.95848037036757,1143.6292516480485,2216.7195819666445
vertical_line_1,kalman_1d,kalman Q=1e-02 R=1e-03,1176.699138253354,238.15255945235023,140.69121086200732,1143.7264548740065,2216.837316309729
vertical_line_1,kalman_1d,kalman Q=1e-02 R=1e-04,1176.89065140035,238.1585466778167,140.69418870619904,1143.9218755064326,2217.161005767726
vertical_line_1,savgol,savgol window=7 poly=2,1176.8972204638428,238.32501867575166,140.46761425944248,1143.9218077967487,2217.156788621679
vertical_line_1,raw,raw,1176.9139047600024,238.15932098301735,140.6945581840484,1143.945592387916,2217.2003105816375
vertical_line_1,butterworth,butterworth cutoff=20Hz order=2,1176.9243871365416,238.25138990409394,140.66778388511955,1143.9404979378696,2217.2147008140105
vertical_line_1,butterworth,butterworth cutoff=20Hz order=4,1176.950968318334,238.26848803921348,140.68079138726003,1143.9626848667858,2217.2622005944195
vertical_line_1,savgol,savgol window=7 poly=3,1176.9572834955538,238.12737944482643,140.79214618833237,1143.9848643682558,2217.282554845237
