rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imuTemp,output_Hz
01/01/2000,00:32:45.19,-29.79,-22.46,1031.74,-1.60,1.06,-0.23,14.85,1.80,46.80,31.48,10.011
01/01/2000,00:32:45.29,-23.44,-27.83,1025.39,0.16,0.38,1.07,14.40,2.10,47.55,31.14,10.011
01/01/2000,00:32:45.40,-32.23,-33.69,1012.70,0.33,-0.96,-1.15,16.20,0.75,48.15,31.38,10.010
01/01/2000,00:32:45.50,-27.34,-41.02,1021.00,-2.28,1.66,0.36,15.15,-0.60,46.80,31.34,10.010
01/01/2000,00:32:45.60,-24.41,-37.60,1020.02,-0.79,-0.70,1.76,16.20,0.0,48.15,31.38,10.010
01/01/2000,00:32:45.70,-15.14,-33.20,1024.41,-0.35,1.98,0.60,13.80,0.0,46.65,31.48,10.010
01/01/2000,00:32:45.80,-19.04,-35.64,1028.32,-0.63,-1.18,0.95,13.50,0.0,48.15,31.58,10.010
01/01/2000,00:32:45.90,-25.88,-26.37,997.56,0.08,1.37,-1.07,14.40,-0.60,47.25,31.38,10.010
01/01/2000,00:32:46.00,-26.86,-28.32,1034.18,0.08,-0.37,-0.26,14.10,0.60,47.55,31.19,10.010
01/01/2000,00:32:46.10,-21.48,-43.95,1037.11,0.20,0.84,-2.66,15.75,1.20,47.40,31.38,10.010
01/01/2000,00:32:46.20,-20.02,-40.04,1023.93,1.27,-0.80,-0.39,14.55,0.0,46.20,31.19,10.0
01/01/2000,00:32:46.30,-34.18,-28.32,1039.06,-1.79,0.53,-1.35,15.45,0.75,47.40,31.53,10.0
01/01/2000,00:32:46.40,-26.37,-31.25,1038.57,-0.87,-1.51,-0.10,14.25,0.30,47.40,31.19,10.0
01/01/2000,00:32:46.51,-26.86,-47.36,1004.88,-1.18,0.35,-0.38,15.45,0.30,46.65,31.48,10.0
01/01/2000,00:32:46.61,-16.60,-35.16,1027.34,-0.70,1.68,0.89,15.60,-0.15,48.30,31.24,10.0
01/01/2000,00:32:46.71,-20.51,-31.25,1038.09,1.18,-0.98,-1.43,15.15,1.35,46.50,31.48,10.0
01/01/2000,00:32:46.81,-24.90,-30.27,1033.69,2.53,-0.53,0.93,14.55,0.30,46.20,31.38,10.0
01/01/2000,00:32:46.91,-19.53,-26.37,1036.62,0.31,-0.55,1.74,16.95,1.20,48.60,31.38,10.0
01/01/2000,00:32:47.01,-14.16,-35.16,1023.93,-2.63,1.39,0.77,16.50,1.50,48.15,31.14,10.0
