timestamp,rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
1784211148.5969772,"01/01/2000,02:40:09.36,-854.49,-57.13,-525.39,-1.18,-0.47,-0.12,73.05,49.65,-10.20,28.32,6.83,-18.30,-992.84,253.75,-848.75,-253.75,1,53.195,"
1784211148.617801,"01/01/2000,02:40:09.39,-860.35,-56.15,-531.25,-0.29,0.78,-0.14,71.10,51.60,-10.50,28.60,6.83,-18.30,-992.96,201.25,-1006.25,-358.75,1,53.185,"
1784211148.649014,"01/01/2000,02:40:09.40,-855.96,-63.96,-518.07,1.70,-2.15,-2.76,72.60,50.85,-10.20,28.22,6.83,-18.30,-992.96,332.50,-796.25,-288.75,1,53.175,"
1784211148.6592443,"01/01/2000,02:40:09.42,-850.10,-53.71,-524.41,1.16,0.73,3.02,72.45,51.90,-10.80,28.37,6.83,-18.30,-992.96,350.0,-857.50,-358.75,1,53.165,"
1784211148.6801205,"01/01/2000,02:40:09.44,-846.19,-57.13,-527.83,-2.05,0.46,-1.35,72.60,51.60,-10.50,28.37,6.83,-18.30,-993.08,218.75,-883.75,-315.0,1,53.155,"
1784211148.7006876,"01/01/2000,02:40:09.46,-856.45,-56.64,-534.67,2.94,2.58,1.02,71.85,53.25,-10.20,28.37,6.83,-18.18,-993.08,446.25,-918.75,-332.50,1,53.228,"
1784211148.7112448,"01/01/2000,02:40:09.48,-850.10,-57.62,-537.60,2.21,-0.60,1.19,72.60,52.05,-10.50,28.37,6.71,-18.18,-993.08,201.25,-778.75,-201.25,1,53.218,"
1784211148.7419975,"01/01/2000,02:40:09.49,-847.66,-61.52,-526.86,-0.47,1.22,2.30,72.0,51.45,-10.05,28.22,6.83,-18.06,-993.08,288.75,-831.25,-288.75,1,53.208,"
1784211148.7568157,"01/01/2000,02:40:09.52,-838.87,-69.34,-536.13,0.02,1.11,-1.24,71.85,52.50,-11.25,28.32,6.95,-18.06,-993.20,358.75,-1006.25,-288.75,1,53.198,"
1784211148.7829723,"01/01/2000,02:40:09.55,-851.56,-55.18,-518.55,1.31,-1.72,-0.48,71.70,51.90,-10.05,28.22,6.71,-17.93,-993.32,210.0,-743.75,-358.75,1,53.178,"
1784211148.8038898,"01/01/2000,02:40:09.57,-855.47,-60.06,-523.44,1.93,-1.38,-0.69,71.70,51.0,-11.55,28.22,6.71,-18.06,-993.08,341.25,-927.50,-341.25,1,53.251,"
1784211148.8460186,"01/01/2000,02:40:09.61,-853.03,-59.57,-526.37,-1.55,0.69,-0.73,72.30,52.05,-12.45,28.32,6.59,-17.93,-993.08,297.50,-875.0,-341.25,1,53.231,"
1784211148.8671567,"01/01/2000,02:40:09.62,-844.24,-49.32,-527.83,-0.95,0.69,-1.44,72.0,51.90,-10.80,28.08,6.83,-18.06,-993.08,411.25,-883.75,-306.25,1,53.221,"
1784211148.8819807,"01/01/2000,02:40:09.65,-850.59,-54.69,-524.90,-1.36,-1.60,0.85,70.95,52.20,-10.80,28.08,6.83,-18.06,-993.20,253.75,-822.50,-393.75,1,53.211,"
