frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
157,5.233333333333333,1784291928.4463332,nan,nan,nan,nan,nan,nan,9,0,nan,327,0,0,0,0,0,0,149,0,1,0
158,5.266666666666667,1784291928.4796665,nan,nan,nan,nan,nan,nan,8,0,nan,315,0,0,0,0,0,0,149,0,1,0
159,5.3,1784291928.5129998,nan,nan,nan,nan,nan,nan,20,0,nan,302,0,0,0,0,0,0,149,0,1,0
160,5.333333333333333,1784291928.546333,nan,nan,nan,nan,nan,nan,12,0,nan,300,0,0,0,0,0,0,149,0,1,0
161,5.366666666666666,1784291928.5796664,nan,nan,nan,nan,nan,nan,22,0,nan,289,0,0,0,0,0,0,149,0,1,0
162,5.4,1784291928.613,nan,nan,nan,nan,nan,nan,27,0,nan,283,0,0,0,0,0,0,149,0,1,0
163,5.433333333333334,1784291928.6463332,nan,nan,nan,nan,nan,nan,19,0,nan,291,0,0,0,0,0,0,149,0,1,0
164,5.466666666666667,1784291928.6796665,nan,nan,nan,nan,nan,nan,19,0,nan,280,0,0,0,0,0,0,149,0,1,0
165,5.5,1784291928.7129998,nan,nan,nan,nan,nan,nan,25,0,nan,269,0,0,0,0,0,0,149,0,1,0
166,5.533333333333333,1784291928.7463331,nan,nan,nan,nan,nan,nan,19,0,nan,282,0,0,0,0,0,0,149,0,1,0
167,5.566666666666666,1784291928.7796664,nan,nan,nan,nan,nan,nan,31,0,0.0,264,0,0,0,0,0,0,149,0,1,0
168,5.6,1784291928.8129997,nan,nan,nan,nan,nan,nan,15,0,nan,248,0,0,0,0,0,0,149,0,1,0
169,5.633333333333334,1784291928.8463333,nan,nan,nan,nan,nan,nan,30,0,0.0,225,0,0,0,0,0,0,149,0,1,0
170,5.666666666666667,1784291928.8796666,nan,nan,nan,nan,nan,nan,17,0,nan,251,0,0,0,0,0,0,149,0,1,0
171,5.7,1784291928.9129999,nan,nan,nan,nan,nan,nan,16,0,nan,227,0,0,0,0,0,0,149,0,1,0
172,5.733333333333333,1784291928.9463332,nan,nan,nan,nan,nan,nan,19,0,nan,217,0,0,0,0,0,0,149,0,1,0
173,5.766666666666667,1784291928.9796665,nan,nan,nan,nan,nan,nan,25,0,nan,229,0,0,0,0,0,0,149,0,1,0
174,5.8,1784291929.0129998,nan,nan,nan,nan,nan,nan,27,0,nan,232,0,0,0,0,0,0,149,0,1,0
175,5.833333333333333,1784291929.046333,nan,nan,nan,nan,nan,nan,20,0,nan,183,0,0,0,0,0,0,149,0,1,0
176,5.866666666666666,1784291929.0796664,nan,nan,nan,nan,nan,nan,30,0,0.0,205,0,0,0,0,0,0,149,0,1,0
177,5.9,1784291929.113,nan,nan,nan,nan,nan,nan,25,0,nan,207,0,0,0,0,0,0,149,0,1,0
178,5.933333333333334,1784291929.1463332,nan,nan,nan,nan,nan,nan,27,0,nan,193,0,0,0,0,0,0,149,0,1,0
179,5.966666666666667,1784291929.1796665,nan,nan,nan,nan,nan,nan,29,0,nan,189,0,0,0,0,0,0,149,0,1,0
180,6.0,1784291929.2129998,nan,nan,nan,nan,nan,nan,28,0,nan,177,0,0,0,0,0,0,149,0,1,0
181,6.033333333333333,1784291929.2463331,nan,nan,nan,nan,nan,nan,23,0,nan,165,0,0,0,0,0,0,149,0,1,0
182,6.066666666666666,1784291929.2796664,nan,nan,nan,nan,nan,nan,23,0,nan,163,0,0,0,0,0,0,149,0,1,0
183,6.1,1784291929.3129997,nan,nan,nan,nan,nan,nan,30,0,0.0,139,0,0,0,0,0,0,149,0,1,0
184,6.133333333333334,1784291929.3463333,nan,nan,nan,nan,nan,nan,32,0,0.0,140,0,0,0,0,0,0,149,0,1,0
185,6.166666666666667,1784291929.3796666,nan,nan,nan,nan,nan,nan,38,0,0.0,131,0,0,0,0,0,0,149,0,1,0
186,6.2,1784291929.4129999,nan,nan,nan,nan,nan,nan,42,0,0.0,139,0,0,0,0,0,0,149,0,1,0
187,6.233333333333333,1784291929.4463332,nan,nan,nan,nan,nan,nan,43,0,0.0,108,0,0,0,0,0,0,149,0,1,0
188,6.266666666666667,1784291929.4796665,nan,nan,nan,nan,nan,nan,51,0,0.0,117,0,0,0,0,0,0,149,0,1,0
189,6.3,1784291929.5129998,nan,nan,nan,nan,nan,nan,51,6,0.11764705882352941,120,0,0,0,0,0,0,149,0,1,0
190,6.333333333333333,1784291929.546333,nan,nan,nan,nan,nan,nan,55,0,0.0,114,0,0,0,0,0,0,149,0,1,0
191,6.366666666666666,1784291929.5796664,nan,nan,nan,nan,nan,nan,68,6,0.08823529411764706,126,0,0,0,0,0,0,149,0,1,0
192,6.4,1784291929.613,nan,nan,nan,nan,nan,nan,60,5,0.08333333333333333,124,0,0,0,0,0,0,149,0,1,0
193,6.433333333333334,1784291929.6463332,nan,nan,nan,nan,nan,nan,62,5,0.08064516129032258,135,0,0,0,0,0,0,149,0,1,0
194,6.466666666666667,1784291929.6796665,nan,nan,nan,nan,nan,nan,69,10,0.14492753623188406,149,0,0,0,0,0,0,149,0,1,0
195,6.5,1784291929.7129998,nan,nan,nan,nan,nan,nan,70,8,0.11428571428571428,138,0,0,0,0,0,0,149,0,1,0
196,6.533333333333333,1784291929.7463331,nan,nan,nan,nan,nan,nan,68,9,0.1323529411764706,131,0,0,0,0,0,0,149,0,1,0
197,6.566666666666666,1784291929.7796664,nan,nan,nan,nan,nan,nan,73,5,0.0684931506849315,127,0,0,0,0,0,0,149,0,1,0
198,6.6,1784291929.8129997,nan,nan,nan,nan,nan,nan,75,7,0.09333333333333334,110,0,0,0,0,0,0,149,0,1,0
199,6.633333333333334,1784291929.8463333,nan,nan,nan,nan,nan,nan,72,8,0.1111111111111111,119,0,0,0,0,0,0,149,0,1,0
200,6.666666666666667,1784291929.8796666,nan,nan,nan,nan,nan,nan,68,7,0.10294117647058823,133,0,0,0,0,0,0,149,0,1,0
201,6.7,1784291929.9129999,nan,nan,nan,nan,nan,nan,68,9,0.1323529411764706,120,0,0,0,0,0,0,149,0,1,0
202,6.733333333333333,1784291929.9463332,nan,nan,nan,nan,nan,nan,77,7,0.09090909090909091,121,0,0,0,0,0,0,149,0,1,0
203,6.766666666666667,1784291929.9796665,nan,nan,nan,nan,nan,nan,71,7,0.09859154929577464,139,0,0,0,0,0,0,149,0,1,0
204,6.8,1784291930.0129998,nan,nan,nan,nan,nan,nan,71,8,0.11267605633802817,134,0,0,0,0,0,0,149,0,1,0
